Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price,Condition_Original
Toyota,Dyna,1989.0,227000.0,3660.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,10744.0,
Toyota,Hiace Truck,1992.0,188000.0,2440.0,diesel,manual,4.5,awd,150.0,200.0,10.0,truck,3.0,,
Mitsubishi,Canter Truck,1996.0,201000.0,4560.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,12177.0,
Mazda,Titan,1992.0,245000.0,3450.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
Mitsubishi,Canter Truck,1995.0,161000.0,2830.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
Mitsubishi,Canter Truck,1997.0,202000.0,3560.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
Mitsubishi,Fighter,2016.0,499000.0,7540.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,2.0,33682.0,
Mitsubishi,Canter Truck,2000.0,241000.0,5240.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
Toyota,Toyoace 2018,2017.0,615000.0,3000.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,12327.0,
Mitsubishi,Canter Truck,1996.0,60000.0,4210.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,11585.0,
Mitsubishi,Canter Truck,2000.0,370000.0,4200.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,12066.0,
Mitsubishi,Fighter,1999.0,432000.0,8200.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,2.0,31592.0,
Mitsubishi,Canter Truck,1995.0,103000.0,3560.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,10937.0,
Mazda,Titan,2000.0,297000.0,3000.0,diesel,manual,4.5,fwd,150.0,200.0,10.0,truck,3.0,,
