id,model_name,make_name,vehicle_type,name,price,body_type,source,current_location,drive,mileage,color,annual_insurance,year_of_manufacture,torque,fuel_type,engine_size,horse_power,acceleration,transmission,urban_consumption,highway_consumption,availability,purchase_status,condition
4064,Outback,Subaru,Automobile,Subaru Outback,3749999,Station Wagon,Foreign Used,"Nairobi, Kenya",AWD,43000,,148500,2016,235,Petrol,2500,173,8,Automatic,10,12,available,Available,Very Good
4063,Kuga,Ford,Automobile,Ford Kuga Titanium,1399999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,149000,Green,51750,2014,240,Petrol,1600,180,9.6,Automatic,12,14,available,Available,Very Good
4041,Xtrail,Nissan,Automobile,Nissan XTRAIL,2999999,SUV,Foreign Used,"Nairobi, Kenya",4WD,89000,,121500,2016,207,Petrol,2000,144,10,Automatic,10,12,available,Available,Very Good
4040,Xtrail,Nissan,Automobile,"Nissan XTRAIL ""NT32""",1799999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,214000,,76500,2014,207,Petrol,2000,144,10,Automatic,10,12,sell_on_behalf,Sold,Very Good
4034,523I,Bmw,Automobile,BMW 523i,2399999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,139000,,99000,2014,350,Petrol,2000,241,8,Automatic,10,12,sell_on_behalf,Available,Very Good
4033,X6,Bmw,Automobile,"BMW X6 ""F16"" XDRIVE 35i",5699999,SUV,Foreign Used,"Nairobi, Kenya",AWD,92000,,234000,2017,400,Petrol,3000,302,6.4,Automatic,9,11,sell_on_behalf,Available,Very Good
4032,Mark X,Toyota,Automobile,Toyota Mark X,859999,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,157000,,36000,2007,243,Petrol,2500,203,8.4,Automatic,10,12,sell_on_behalf,Available,Very Good
4028,Touareg,Volkswagen,Automobile,Volkswagen Touareg Hybrid,1999999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,140000,,112500,2011,580,Petrol Hybrid,3000,375,5.8,Automatic,13,15,sell_on_behalf,Available,Very Good
4027,Cx5,Mazda,Automobile,Mazda CX-5 2.5L AWD,3599999,SUV,Foreign Used,"Nairobi, Kenya",AWD,71000,,157500,2017,258,Petrol,2500,187,8.7,Automatic,10,12,available,Available,Very Good
4004,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado TX,1999999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,140000,,90000,2006,387,Petrol,4000,243,9,Automatic,6,8,sell_on_behalf,Sold,Very Good
3996,Cx5,Mazda,Automobile,Mazda CX-5 2.2D,3449999,SUV,Foreign Used,"Nairobi, Kenya",2WD,80000,,144000,2017,418,Diesel,2200,173,8,Automatic,12,14,available,Available,Very Good
3995,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado TX,9699999,SUV,Foreign Used,"Nairobi, Kenya",4WD,68000,,405000,2019,450,Diesel,2800,184,9,Automatic,10,12,sell_on_behalf,Sold,Very Good
3993,Swift,Suzuki,Automobile,Suzuki Swift Sport 1.6,1499999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,110000,,58500,2016,160,Petrol,1600,134,9,Automatic,14,16,sell_on_behalf,Available,Very Good
3990,Voxy,Toyota,Automobile,Toyota Voxy,2699999,Van,Foreign Used,"Nairobi, Kenya",2WD,120000,,112500,2016,250,Petrol,2000,152,11,Automatic,10,12,available,Available,Very Good
3987,Range Rover Classic,Land rover,Automobile,Range Rover Classic 3.5L V8,1149999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,159000,,45000,1981,251,Petrol,3500,155,11,Manual,8,10,sell_on_behalf,Available,Very Good
3982,Cx5,Mazda,Automobile,Mazda CX-5 2.2D AWD,3349999,SUV,Foreign Used,"Nairobi, Kenya",AWD,128000,,135000,2017,418,Diesel,2200,173,8,Automatic,12,14,available,Available,Very Good
3979,Golf TSI,Volkswagen,Automobile,Volkswagen Golf 1.4L TSI,1949999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,135000,,81000,2016,200,Petrol,1400,134,8,Automatic,14,16,available,Available,Very Good
3978,Golf TSI,Volkswagen,Automobile,Volkswagen Golf TSI 1.4L,1999999,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,131000,,90000,2016,200,Petrol,1400,134,8,Automatic,14,16,available,Available,Very Good
3976,Discovery IV,Land rover,Automobile,Landrover Discovery IV,3999999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,77000,,180000,2012,600,Diesel,3000,242,8,Automatic,9,11,sell_on_behalf,Available,Very Good
3975,Compass,Jeep,Automobile,"Jeep Compass ""MK49""",2799999,SUV,Kenyan Used,"Nairobi, Kenya",4WD,93000,,117000,2016,190,Petrol,2000,158,10,Automatic,10,12,sell_on_behalf,Available,Very Good
3974,Cx5,Mazda,Automobile,Mazda CX-5 2.2D AWD,3099999,SUV,Kenyan Used,"Nairobi, Kenya",AWD,66000,,135000,2017,418,Diesel,2200,173,8,Automatic,12,14,sell_on_behalf,Available,Very Good
