Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
Volks,Wagen Beetle,2015,,1200 - TSI cc,Petrol,Automatic,4.5,,,,,,,
Volks,Wagen Beetle,2015,,1200 cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Land Cruiser,2016,,4700cc - V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Auris,2015,,1500cc - VVTi cc,Petrol,Automatic,4.5,,,,,,,
Volks,Wagen Beetle,2015,,1200cc - TSI cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Land Cruiser,2019,,4700cc - V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Mercedes,Ml,2013,,2000cc TDI cc,Diesel,Automatic,4.5,4WD,,,,,,
Mazda,Cx,2014,,200cc   cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Voxy,2014,,2000 cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Axio,2014,,1500 - VVT-i cc,Petrol Hybrid,Automatic,4.5,,,,,,,
Range,Rover Sports,2014,,3000 - V6 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Prius,2013,,1800 - VVT-I cc,Petrol Hybrid,Automatic,4.5,,,,,,,
Toyota,Fielder,2015,,1500 - VVT-I cc,Petrol Hybrid,Automatic,4.5,,,,,,,
Toyota,Fielder,2015,,1500 - VVT-I cc,Petrol Hybrid,Automatic,4.5,,,,,,,
Lexus,Lx,2015,,5600cc- V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Axio,2013,,1500 - VVT-i cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Vitz,2013,,1300 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Porsche,Cayenne,2015,,4800 - V8 cc,Petrol,Automatic,4.5,,,,,,,
Lexus,Lx,2016,,5700cc - V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2015,,5600cc- V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2016,,4600cc - V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Aqua,2015,,1500 - VVT-i cc,Petrol Hybrid,Automatic,4.5,,,,,,,
Bently,Flying Super,2015,,4000cc - V8 cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Vitz,2016,,1300 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Axio,2016,,1500 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Fielder,2016,,1500 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Nissan,Blue Bird,2015,,2000cc cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Auris,2015,,1500cc - VVTi cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Axio,2016,,1500 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Rush,2015,,1500 - VVTI cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Rav4,2015,,2400 - VVTI cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Allion,2016,,1500 - VVT-I cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Mark X,2016,,2500 - V6 cc,Petrol,Automatic,4.5,,,,,,,
Subaru,Impreza,2015,,1600 cc,Petrol,Automatic,4.5,,,,,,,
Toyota,Land Cruiser,2016,,4700cc - V8 cc,Petrol,Automatic,4.5,4WD,,,,,,
Volks,Wagen Beetle,2015,,1200 cc,Petrol,Automatic,4.5,,,,,,,
