Title,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability,Chassis Number,Details Link
Unknown,2017,Petrol,2000 cc,Automatic,Black,Gray,2WD,67720 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/nissan-xtrail-mini-suv-used-petrol-2000-automatic-2017-in-stock-67720/
Unknown,2017,Diesel,2400 cc,Automatic,Blue,Gray,2WD,49608 Km,4.5,B,In Stock,GUN125-0220,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2017-in-stock-49608/
Unknown,2017,Petrol,1400 cc,Automatic,Black,Gray,2WD,45952 Km,4.5,B,In Stock,WAUZ-7958,https://autoboxmotors.co.ke/listings/volkswagen-tiguan-mini-suv-used-petrol-1400-automatic-2017-in-stock-45952/
Unknown,2017,Petrol,3000 cc,Automatic,Black,Gray,4WD,10873 Km,4.5,B,In Stock,WBAKU-6146,https://autoboxmotors.co.ke/listings/bmw-x6-suv-used-petrol-3000-automatic-2017-in-stock-10873/
Unknown,2017,Petrol,2700 cc,Automatic,Black,Gray,4WD,60858 Km,4.5,B,In Stock,TRJ150-0552,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-petrol-2700-automatic-2017-in-stock-2500/
Unknown,2017,Petrol,1500 cc,Automatic,Brown,Black,FWD,97000kms Km,4.5,B,In Stock,BM5FP-6645,https://autoboxmotors.co.ke/listings/mazda-axela-hatchback-used-petrol-1500-automatic-2017-in-stock-97000kms/
Unknown,2017,Petrol,2000 cc,Automatic,Pearl White,Black/Red,2WD,63850 Km,4.5,B,In Stock,ZSU60-6305,https://autoboxmotors.co.ke/listings/toyota-harrier-mini-suv-used-petrol-2000-automatic-2017-in-stock-63850/
Unknown,2018,Diesel,2400 cc,Automatic,Silver,Gray,2WD,8000-kms Km,4.5,B,In Stock,GUN125-7540,https://autoboxmotors.co.ke/listings/toyota-hilux-pickups-used-diesel-2400-automatic-2018-in-stock-8000-kms/
Unknown,2017,Petrol,3000 cc,Automatic,White,Beige,4WD,89000kms Km,4.5,B,In Stock,SALGA3EV5HA-2925,https://autoboxmotors.co.ke/listings/land-rover-range-rover-vogue-mini-suv-used-petrol-3000-automatic-2017-in-stock-89000kms/
Unknown,2017,Diesel,2800 cc,Automatic,Pearl White,Brown,4WD,66000kms Km,4.5,B,In Stock,GDJ150-7819,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-diesel-2800-automatic-2017-in-stock-66332/
Unknown,2017,Petrol,2700 cc,Automatic,Pearl White,Brown,4WD,89000kms Km,4.5,B,In Stock,TRJ150-1902,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-petrol-2700-automatic-2017-in-stock-89000/
Unknown,2018,Petrol,3000 cc,Automatic,Pearl White,Gray,4WD,115000kms Km,4.5,B,In Stock,WP1-5126,https://autoboxmotors.co.ke/listings/porsche-cayenne-suv-used-petrol-3000-automatic-2018-in-stock-115000/
Unknown,2018,Petrol,5600 cc,Automatic,Black,Orange,4WD,40000kms Km,4.5,B,In Stock,URJ201-2168,https://autoboxmotors.co.ke/listings/lexus-lx-570-suv-used-petrol-5600-automatic-2018-in-stock-40000kms/
Unknown,2016,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,46030 Km,4.5,B,In Stock,SJG-3370,https://autoboxmotors.co.ke/listings/subaru-forester-mini-suv-used-petrol-2000-automatic-2016-in-stock-46030/
Unknown,2017,Petrol,N/A,Automatic,White,Beige,4WD,31000kms Km,4.5,B,In Stock,TRJ150-0552,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-petrol-automatic-2017-in-stock-31000kms/
Unknown,2018,Petrol,3000 cc,Automatic,Brown,Gray,AWD,22808 Km,4.5,B,In Stock,WP1-4211,https://autoboxmotors.co.ke/listings/porsche-cayenne-s-mini-suv-used-petrol-3000-automatic-2018-in-stock-22808/
Unknown,2018,Petrol,3000 cc,Automatic,Pearl White,Brown,4WD,7312 Km,4.5,B,In Stock,SAL-9428,https://autoboxmotors.co.ke/listings/range-rover-vogue-suv-used-petrol-3000-automatic-2018-in-stock-7312/
